Sr No,Date,Hijri Date,Description,Type,Time to,Time From,Duration in hours,Total Hours,Remarks
1,08-04-25,10-Shawwal-1446,Kalemaat Nooraniyah regarding Al Jamea tus Saifiyah,Awwala Orientation,8:10 am,8:25 am,0:15:00,171:40:00,
2,08-04-25,10-Shawwal-1446,Inaugural session of the Orientation program,Awwala Orientation,8:35 am,8:50 am,0:15:00,,
3,08-04-25,10-Shawwal-1446,Nasheed Tilawat,Awwala Orientation,8:50 am,8:55 am,0:05:00,,
4,08-04-25,10-Shawwal-1446,Theme of the day – Every Mumin’s home is Al Jamea,Awwala Orientation,8:55 am,9:45 am,0:50:00,,
5,08-04-25,10-Shawwal-1446,Drawing wisdom from the experiences of Asateza Kiram and mumeneen mukhleseen,Awwala Orientation,9:45 am,10:00 am,0:15:00,,
6,08-04-25,10-Shawwal-1446,Understanding Behavioural Patterns,Awwala Orientation,10:30 am,11:30 am,1:00:00,,
7,08-04-25,10-Shawwal-1446,Orientation of Mahad al Zahra,Awwala Orientation,11:40 am,12:30 pm,0:50:00,,
8,08-04-25,10-Shawwal-1446,Skit / Enactment,Awwala Orientation,2:00 pm,2:20 pm,0:20:00,,
9,08-04-25,10-Shawwal-1446,Parenting from Afar - Session,Awwala Orientation,2:20 pm,3:30 pm,1:10:00,,
10,08-04-25,10-Shawwal-1446,Aljamea tus Saifiyah’s Historical film (part one),Awwala Orientation,3:30 pm,4:00 pm,0:30:00,,
11,09-04-25,11-Shawwal-1446,Shukur Kitab Busaheba,Awwala Orientation,8:15 am,8:45 am,0:30:00,,
12,09-04-25,11-Shawwal-1446,Kalemaat Nooraniyah regarding Al Jamea tus Saifiyah,Awwala Orientation,8:45 am,8:55 am,0:30:00,,
13,09-04-25,11-Shawwal-1446,Theme of the day – Jamea is my home,Awwala Orientation,8:55 am,9:00 am,0:10:00,,
14,09-04-25,11-Shawwal-1446,Gaining insights from the experiences of parents of first year students from last year,Awwala Orientation,9:05 am,9:25 am,0:05:00,,
15,09-04-25,11-Shawwal-1446,Introduction of the academic system and various departments and JHS Portal,Awwala Orientation,9:25 am,9:45 am,0:20:00,,
16,09-04-25,11-Shawwal-1446,JHS Skit,Awwala Orientation,9:45 am,9:50 am,0:20:00,,
17,09-04-25,11-Shawwal-1446,Introduction of Marhala Saqafat Aamma,Awwala Orientation,9:50 am,10:00 am,0:05:00,,
18,09-04-25,11-Shawwal-1446,Developing reading & writing skills ,Awwala Orientation,10:30 am,11:30 am,0:10:00,,
19,09-04-25,11-Shawwal-1446,Orientation of Jamea’s Library,Awwala Orientation,3:30 pm,4:30 pm,1:00:00,,
20,10-04-25,12-Shawwal-1446,Theme of the day- This is our army of future,Awwala Orientation,8:15 am,8:30 am,1:00:00,,
21,10-04-25,12-Shawwal-1446,Drawing wisdom from the experiences of Asateza kiram and mumeneen mukhleseen,Awwala Orientation,8:30 am,9:00 am,0:15:00,,
22,10-04-25,12-Shawwal-1446,A summary of the administrative system and organizational matters,Awwala Orientation,9:00 am,9:20 am,0:30:00,,
23,10-04-25,12-Shawwal-1446,Al Jamea tus Saifiyah’s Historical film (part two),Awwala Orientation,9:20 am,10:00 am,0:20:00,,
24,10-04-25,12-Shawwal-1446,Supporting Mental Health & Well-being,Awwala Orientation,10:30 am,11:30 am,0:40:00,,
25,10-04-25,12-Shawwal-1446,Developing skills of Composition,Awwala Orientation,4:10 pm,5:00 pm,1:00:00,,
26,10-04-25,12-Shawwal-1446,Developing skills of Composition,Awwala Orientation,5:55 pm,6:40 pm,0:50:00,,
27,11-04-25,13-Shawwal-1446,Kalemaat Nooraniyah regarding Al Jamea tus Saifiyah,Awwala Orientation,8:45 am,9:00 am,0:45:00,,
28,11-04-25,13-Shawwal-1446,"Theme of the day - A Mumin’s son enrols in Jamea for four reasons: language, attire, appearance & deeds",Awwala Orientation,9:00 am,9:10 am,0:15:00,,
29,11-04-25,13-Shawwal-1446,Distinguishing feature of Tadeeb and Riyadat in the academic life of a student,Awwala Orientation,9:10 am,9:30 am,0:10:00,,
30,11-04-25,13-Shawwal-1446,Gaining insights from the experiences of senior khidmatguzar,Awwala Orientation,9:30 am,9:45 am,0:20:00,,
31,11-04-25,13-Shawwal-1446,Overview of external examinations & learning of English language along with exact sciences,Awwala Orientation,9:45 am,10:00 am,0:15:00,,
32,11-04-25,13-Shawwal-1446,Developing Listening & Speaking skills ,Awwala Orientation,10:30 am,11:30 am,0:15:00,,
33,11-04-25,13-Shawwal-1446,برنامج محافظة محاسن الفرقة الداؤدية بلسان الدعوة ولباس الأنورLibaas Lisaan,Awwala Orientation,3:30 pm,5:30 pm,1:00:00,,
34,11-04-25,13-Shawwal-1446,Khaimat al Riyazat,Awwala Orientation,5:30 pm,6:00 pm,0:30:00,,
35,12-04-25,14-Shawwal-1446,Kalemaat Nooraniyah regarding Al Jamea tus Saifiyah,Awwala Orientation,8:10 am,8:25 am,0:15:00,,
36,12-04-25,14-Shawwal-1446,Drawing wisdom from the experiences of Asateza Kiram and mumeneen mukhleseen,Awwala Orientation,8:35 am,8:45 am,0:15:00,,
37,12-04-25,14-Shawwal-1446,Elevation of mumineen’s standard due to the barakat of Jamea,Awwala Orientation,8:45 am,9:00 am,0:10:00,,
38,12-04-25,14-Shawwal-1446,Documentry – The Golden Message TGM,Awwala Orientation,9:00 am,10:00 am,0:15:00,,
39,12-04-25,14-Shawwal-1446,Growth mindset,Awwala Orientation,10:30 am,11:30 am,1:00:00,,
40,12-04-25,14-Shawwal-1446,It might be the result of good deeds from his forefathers that he has gained residing in Jamea,Awwala Orientation,11:30 am,11:35 am,0:05:00,,
41,12-04-25,14-Shawwal-1446,مستخلصات برامج خمسة أيام ومكتبسات 5 Days Summary ,Awwala Orientation,11:35 am,11:50 am,0:15:00,,
42,12-04-25,14-Shawwal-1446,وصية الوالدين Waledain Wasiyat ,Awwala Orientation,11:50 am,12:05 pm,0:15:00,,
43,12-04-25,14-Shawwal-1446,Closing ceremony,Awwala Orientation,12:05 pm,12:15 pm,0:10:00,,
44,12-04-25,14-Shawwal-1446,Band performance,Awwala Orientation,12:15 pm,12:55 pm,0:40:00,,
45,17-04-25,19-Shawwal-1446,Kitab-ul-himmah,Marhala Barnamaj,2:00 pm,3:00 pm,1:00:00,,
46,19-04-25,21-Shawwal-1446,Welcoming notes Shk Moiz Bh kasamji,Darse Burhani,8:15 am,8:30 am,0:15:00,,
47,19-04-25,21-Shawwal-1446,Kalemaat Nooraniyah,Darse Burhani,8:30 am,8:45 am,0:15:00,,
48,19-04-25,21-Shawwal-1446,Syedi Ameer al-Jamea QR bayaan,Darse Burhani,8:45 am,9:00 am,0:15:00,,
49,19-04-25,21-Shawwal-1446,Masul al-Aam keynotes,Darse Burhani,9:00 am,9:15 am,0:15:00,,
50,19-04-25,21-Shawwal-1446,"Overview of the institution's mission, values, and environment",Darse Burhani,9:15 am,9:30 am,0:15:00,,
51,19-04-25,21-Shawwal-1446,"Parenting Teens with Purpose &
Positivity
· Understanding teenage transitions
· Communication do's and don'ts
· Supporting without overcontrolling
· Letting go of comparison
· Institution collaboration",Darse Burhani,9:30 am,10:00 am,0:30:00,,
52,19-04-25,21-Shawwal-1446,Skit Performance,Darse Burhani,10:00 am,10:20 am,0:20:00,,
53,19-04-25,21-Shawwal-1446,"Daily Schedule
· Curriculum
· Rules and Responsibilities
· Communication and
Correspondence
· Facility Usage and General
Conduct
· AVIT (WebX)",Darse Burhani,10:20 am,12:00 pm,1:40:00,,
54,19-04-25,21-Shawwal-1446,Trump Tariff,Nashat Saqafi,12:15 pm,1:15 pm,1:00:00,,
55,21-04-25,23-Shawwal-1446,Health & wellness-US mental health team,Mahal al Shifa,2:00 pm,7:30 pm,5:30:00,"HH1, HH2, HH3, HH4, HW1, HW2, Podium, Main screen",
56,22-04-25,24-Shawwal-1446,Health & wellness-US mental health team,Mahal al Shifa,2:00 pm,7:30 pm,5:30:00,"HH1, HH2, HH3, HH4, HW1, HW2, Podium, Main screen",
57,23-04-25,25-Shawwal-1446,Health & wellness-US mental health team,Mahal al Shifa,2:00 pm,5:30 pm,3:30:00,"HH1, HH2, HH3, HH4, HW1, HW2, Podium, Main screen",
58,24-04-25,26-Shawwal-1446,Case Study Dyslexia & Hifz-Talabat & Talebaat,Mahal al Shifa,8:30 am,10:30 am,2:00:00,"HH1, HH2, HH3, HH4, HW1, HW2, Podium, Main screen",
59,24-04-25,26-Shawwal-1446,Health & wellness-US mental health team,Mahal al Shifa,2:00 pm,7:30 pm,5:30:00,"HH1, HH2, HH3, HH4, HW1, HW2, Podium, Main screen",
